Web Server (APP),Tahun,Bidang ,Total Current Live Websites,Current Customers (Websites),Location,Sales Revenue,Tech Spend,Social,Employees,Traffic,Current Live Webites by Country
Shopify,2020 - 2024,eCommerce,"4,708,257",simpleorganic.com.br,Brazil,$178k+,$2000+,"300,000+",10+,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",cursorapido.igti.com.br,Brazil,$44k+,$1000+,"1,000+",,Medium,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",joulik.com.br,Brazil,$151k+,$2000+,"20,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",sportbr.com.br,Brazil,$29k+,$250+,"20,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",amaro.com,Brazil,$864k+,$5000+,,,High,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",loja.empreender.com.br,Brazil,$25k+,$1000+,,,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",sv.mlcdn.com.br,Brazil,,$250+,,,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",checkout.embracon.com.br,Brazil,$173k+,$2000+,"1,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",megemeg.com.br,Brazil,$42k+,$500+,"50,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",meiasemeiastore.com.br,Brazil,$66k+,$500+,"100,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",maxracer.com.br,Brazil,$45k+,$500+,"2,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",loja.avmakers.com.br,Brazil,$110k+,$100+,50+,,Medium,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",malloca.com.br,Brazil,$13k+,$100+,,,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",mascaraknit.com.br,Brazil,$11k+,$100+,"150,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",mofficer.com.br,Brazil,$85k+,$1000+,"50,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",gameverse8.lojavirtualnuvem.com.br,Brazil,$101k+,$2000+,500+,,Medium,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",app.yampi.com.br,Brazil,$190k+,$2000+,"5,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",usegreenco.com.br,Brazil,$106k+,$1000+,"50,000+",1+,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",classinline.robsoncamargo.com.br,Brazil,,$1000+,"2,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",lojaflash.com,Brazil,$46k+,$5000+,"2,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",duxnutrition.com,Brazil,$240k+,$2000+,"150,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",laporta.com.br,Brazil,$1k+,$50+,,,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",reidacozinha.com.br,Brazil,$17k+,$500+,,,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.usadaomaquinas.com.br,Brazil,$1k+,$500+,,,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",labellamafia.com.br,Brazil,$142k+,$2000+,"500,000+",100+,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",loja.pt.org.br,Brazil,$360k+,$1000+,"500,000+",,High,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",eadpensa.fia.com.br,Brazil,,$2000+,"1,000+",,Medium,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",singapore.sennheiser.com,Germany,,$5000+,"400,000+","1,000+",Very High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.smashingmagazine.com,Germany,,$1000+,"500,000+",,Very High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",dazn.com,Germany,,$5000+,,"1,000+",High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",pre-loved.hugoboss.com,Germany,$3.0m+,$10000+,500+,"10,000+",Very High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.helloclue.com,Germany,$53k+,$2000+,,100+,High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",equipment.lesmills.com,Germany,$69k+,$5000+,"400,000+","1,000+",High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",plant.ecosia.org,Germany,,$5000+,"20,000+",10+,Very High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",pt.business.babbel.com,Germany,,$10000+,"20,000+",100+,Very High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.inyourpocket.com,Germany,$2.4m+,$2000+,"1,000+",,Very High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",vicegolf.com,Germany,$290k+,$2000+,"50,000+",,-,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",swag.reviews.io,Germany,,$2000+,"10,000+",10+,Very High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",marktplatz.bild.de,Germany,,$5000+,250+,100+,Very High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop-us.kurzgesagt.org,Germany,,$1000+,"300,000+",,High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",esports-shop.sport1.de,Germany,,$5000+,"300,000+",,High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",g2esports.com,Germany,$360k+,$2000+,"750,000+",100+,Medium,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",stuff.git-tower.com,Germany,,$1000+,,,Very High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.grand-seiko.com,Germany,$23k+,$2000+,,,Medium,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.wetteronline.de,Germany,,$1000+,"50,000+",,High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.duden.de,Germany,,$2000+,"5,000+",,Very High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",crew2020.defleppard.com,Germany,$29k+,$2000+,"750,000+",,Medium,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.mopo.de,Germany,,$1000+,250+,,High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",malaysia.aesop.com,Germany,$827k+,$10000+,"500,000+","1,000+",Medium,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.ignant.com,Germany,$69k+,$250+,"5,000+",,Medium,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",giftsubscription.theschooloflife.com,Germany,$262k+,$5000+,"100,000+",,High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",soundbrenner.com,Germany,$589k+,$2000+,"20,000+",10+,High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",freeletics.com,Germany,$814k+,$10000+,"10,000+",100+,High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",frieze.com,Germany,$31k+,$2000+,"2,000+",10+,Medium,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",productionmusiclive.com,Germany,$160k+,$2000+,"150,000+",,-,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop-us.avermedia.com,Germany,,$2000+,,100+,High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",informationsmittel-bestellkatalog.volkswagen.de,Germany,,$10000+,"100,000+","100,000+",High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",us.carhartt-wip.com,Germany,$638k+,$10000+,"750,000+",100+,Medium,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",allikestore.com,Germany,$62k+,$1000+,"2,000+",,-,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shoepassion.com,Germany,$56k+,$500+,"5,000+",,-,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.deskthority.net,Germany,$30k+,$100+,,,High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",giftcards.aldi.ie,Germany,,$5000+,"50,000+",,Medium,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.ia.net,Germany,$32k+,$500+,"5,000+",,High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.swp.de,Germany,,$2000+,"5,000+",,High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.lovingnewyork.de,Germany,,$2000+,"20,000+",,-,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",de.checkout.belstaff.com,Germany,,$5000+,"150,000+",100+,-,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.condor.com,Germany,$75k+,$5000+,"10,000+","1,000+",High,"121,795"
Shopify,2020 - 2024,eCommerce,"4,708,257",ahandfulofleaves.org,Indonesia,$110k+,$50+,,,Medium,"7,394"
Shopify,2020 - 2024,eCommerce,"4,708,257",holestoheavens.com,Indonesia,$121k+,$50+,,,Medium,"7,394"
Shopify,2020 - 2024,eCommerce,"4,708,257",paigehathaway.com,Indonesia,$22k+,$250+,"2,000,000+",,-,"7,394"
Shopify,2020 - 2024,eCommerce,"4,708,257",gogameguru.com,Indonesia,$418k+,$1000+,"1,000+",,High,"7,394"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.perpajakan-id.ddtc.co.id,Indonesia,$1k+,$250+,"1,000+",,-,"7,394"
Shopify,2020 - 2024,eCommerce,"4,708,257",slot-gopay.mitrakuliah.com,Indonesia,,$250+,,,-,"7,394"
Shopify,2020 - 2024,eCommerce,"4,708,257",syariah.iainkediri.ac.id,Indonesia,$37k+,$500+,"2,000+",,Medium,"7,394"
Shopify,2020 - 2024,eCommerce,"4,708,257",mp.undhirabali.ac.id,Indonesia,,$5000+,100+,,-,"7,394"
