DATASET UNTUK TREND APP YANG DIPASANG PADA LAYANAN VPS DALAM 5 TAHUN TERAKHIR;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web Server (APP);Initial Release;Year of Sales Revenue;Bidang ;Total Current Live Websites;Sales Revenue (Mllion) in 2023;Current Customers (Websites) in 2024;Location;Sales Revenue Customer;Tech Spend;Social;Traffic;Current Live Webites by Country;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;verabradley.com;United States;$41m+;$10000+;400,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.inquirer.com;United States;;$10000+;100,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.slicelife.com;United States;$913k+;$5000+;;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;jeffreestarcosmetics.com;United States;$431k+;$2000+;3,000,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;customer.stamps.com;United States;$63m+;$5000+;1,000+;High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.inspiremore.com;United States;;$2000+;50,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;steinmart.com;United States;$103m+;$2000+;10,000+;High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;instantpot.com;United States;$368k+;$2000+;10,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;swimoutlet.com;United States;$545k+;$5000+;100,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.simonandschuster.com;United States;$23m+;$10000+;400,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.ihop.com;United States;$291k+;$2000+;50+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.scarymommy.com;United States;;$1000+;1,500,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;buy.seahawks.com;United States;;$10000+;2,000,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;vimeo.com;United States;;$5000+;150,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.sho.com;United States;$321k+;$5000+;400,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.stereogum.com;United States;;$2000+;150,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.jessicagavin.com;United States;;$500+;1,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;sgwtestimages.shopgoodwill.com;United States;;$2000+;1,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.soaphub.com;United States;;$2000+;10,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shopjustice.com;United States;$523k+;$5000+;750,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.spoonuniversity.com;United States;;$5000+;200,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;ae.sunglasshut.com;United States;$844k+;$10000+;10,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;inspirato.com;United States;$28m+;$10000+;2,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.saveur.com;United States;;$1000+;400,000+;High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.spectator.org;United States;;$1000+;10,000+;High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;reports.statnews.com;United States;;$5000+;5,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.vote.org;United States;$204k+;$1000+;5,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.smiledirectclub.com;United States;$39m+;$10000+;300,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.sofrep.com;United States;;$2000+;0+;High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.sendlane.com;United States;$176k+;$5000+;1,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;vogue.co.uk;United Kingdom;;$5000+;3,000,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.jamieoliver.com;United Kingdom;;$2000+;3,000,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;fr-test.justfashionnow.com;United Kingdom;;$2000+;100+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;merch.justinguitar.com;United Kingdom;;$500+;50,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;internalmedicine.imedpub.com;United Kingdom;;$250+;;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.sofarsounds.com;United Kingdom;$29k+;$2000+;150,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;3dtotal.com;United Kingdom;$216k+;$1000+;50,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.sciencemuseum.org.uk;United Kingdom;$36k+;$2000+;150,000+;High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;equipment.itftennis.com;United Kingdom;;$2000+;;High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;steamforged.com;United Kingdom;$543k+;$5000+;5,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;mystyle.hm.com;United Kingdom;;$10000+;;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;swag.raspberrypi.org;United Kingdom;;$5000+;150,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shopify.diabetes.co.uk;United Kingdom;$174k+;$2000+;20,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.udiscovermusic.com;United Kingdom;$320k+;$5000+;5,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.rocksound.tv;United Kingdom;;$2000+;150,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;huel.com;United Kingdom;$1.0m+;$10000+;500+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;hunterboots.com;United Kingdom;$571k+;$5000+;20,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.expertphotography.com;United Kingdom;;$1000+;5,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;giftshop.ed.ac.uk;United Kingdom;;$10000+;20,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.amnesty.org;United Kingdom;$6.0m+;$2000+;500,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;maisonmiru.com;United Kingdom;$213k+;$2000+;50,000+;-;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.mind.org.uk;United Kingdom;$208k+;$2000+;300,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;outfitted.golfwrx.com;United Kingdom;;$1000+;150,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;crates.whosampled.com;United Kingdom;;$500+;10,000+;High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;gymshark.com;United Kingdom;;$10000+;3,000,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.physio-pedia.com;United Kingdom;$17k+;$500+;10,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;checkout.store.fifa.com;United Kingdom;;$5000+;5,000,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.feed-the-beast.com;United Kingdom;$15k+;$250+;;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;supportkit.gia.edu;United Kingdom;;$10000+;150,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;glamourmagazine.co.uk;United Kingdom;;$1000+;400,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.football365.com;United Kingdom;;$2000+;1,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;calendly.com;United Kingdom;;$5000+;5,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.newscientist.com;United Kingdom;;$5000+;400,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.carthrottle.com;United Kingdom;;$1000+;1,000,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;employeestore.burberry.com;United Kingdom;$2.7m+;$10000+;5,000,000+;Medium;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.bl.uk;United Kingdom;$21m+;$2000+;1,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.cochrane.org;United Kingdom;$2.2m+;$1000+;10,000+;Very High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;scotclans.com;United Kingdom;$356k+;$100+;2,000+;High;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;sourcebmx.com;United Kingdom;$319k+;$5000+;50,000+;-;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;jaidenanimations.com;United Kingdom;$45k+;$500+;750,000+;-;207.349;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;music.stampinup.com;Australia;$371k+;$2000+;10+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.swimuniversity.com;Australia;$20k+;$1000+;2,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shirtpunch.com;Australia;$198k+;$1000+;20,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;jbhifi.com.au;Australia;$100m+;$10000+;20,000+;High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;sweat.com;Australia;$674k+;$5000+;750,000+;High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;bookshop.swin.edu.au;Australia;;$10000+;10,000+;Very High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;accounts.zoho.com;Australia;;$10000+;100+;Very High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;buy.harpersbazaar.com.au;Australia;;$2000+;200,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.dmarge.com;Australia;;$500+;20,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.emojipedia.org;Australia;;$1000+;100,000+;Very High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.mysteriousuniverse.org;Australia;$2.1m+;$250+;10,000+;Very High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.globalcitizen.org;Australia;$2.0m+;$2000+;;Very High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;princesspolly.com;Australia;$811k+;$10000+;1,500,000+;High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;canva.com;Australia;$100m+;$10000+;100,000+;Very High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;swagcheckout.vectorworks.net;Australia;;$5000+;10,000+;High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;jcojewellery.com;Australia;$141k+;$2000+;300,000+;-;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;illenium.com;Australia;$674k+;$5000+;400,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.australiangeographic.com.au;Australia;;$2000+;150,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.deakin.edu.au;Australia;;$10000+;20,000+;Very High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;b2b-uk.leica-camera.com;Australia;$331k+;$5000+;750,000+;Very High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;pinkqueen.com;Australia;$129k+;$250+;;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.wickedweasel.com;Australia;$217k+;$1000+;10,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;grimfrost.com;Australia;$501k+;$2000+;100,000+;High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.punters.com.au;Australia;;$10000+;5,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;whitefoxboutique.com;Australia;$426k+;$2000+;1,000,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;4for4.com;Australia;;$1000+;10,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;adc.caradvice.com.au;Australia;$128k+;$250+;10,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.timeandtidewatches.com;Australia;$18k+;$1000+;;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;jazzastudios.com;Australia;$375k+;$250+;;High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.ittf.com;Australia;;$1000+;100+;High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;speedcube.com.au;Australia;$26k+;$250+;2,000+;-;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;checkout.gofar.co;Australia;;$2000+;250+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;finalmouse.com;Australia;$120k+;$2000+;100,000+;-;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;furlscrochet.com;Australia;$254k+;$2000+;50,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;quadlockcase.com;Australia;$424k+;$2000+;50,000+;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;merch.rebrickable.com;Australia;;$500+;2,000+;Very High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;zositech.com;Australia;$39k+;$500+;500+;-;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;adf.org.au;Australia;$383k+;$5000+;;Medium;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;mq.edu.au;Australia;;$10000+;500+;Very High;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;mightycarmods.com;Australia;$55k+;$500+;400,000+;-;150.839;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;mais-qa.cuidadospelavida.com.br;Brazil;$98k+;$1000+;50+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;brazopolis.mg.gov.br;Brazil;$468k+;$5000+;10+;Medium;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.wemystic.com.br;Brazil;;$2000+;250+;Medium;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;ubestplus.uninter.com;Brazil;$526k+;$2000+;50,000+;High;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;pay.ebit.com.br;Brazil;;$1000+;2,000+;Medium;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;hostinger.com.br;Brazil;$149k+;$500+;5,000+;Medium;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;eventos.ufabc.edu.br;Brazil;;$5000+;2,000+;High;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;jobin.com.br;Brazil;$1k+;$50+;10,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;sallve.com.br;Brazil;$343k+;$2000+;500,000+;Medium;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;insiderstore.com.br;Brazil;$202k+;$2000+;200,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;selecaoadega.com.br;Brazil;$1k+;$100+;500+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;aperam.siteware.com.br;Brazil;;$2000+;50+;Medium;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;clickout.noticiasaominuto.com.br;Brazil;;$1000+;1,000+;Medium;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;simpleorganic.com.br;Brazil;$178k+;$2000+;300,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;cursorapido.igti.com.br;Brazil;$44k+;$1000+;1,000+;Medium;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;joulik.com.br;Brazil;$151k+;$2000+;20,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;sportbr.com.br;Brazil;$29k+;$250+;20,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;amaro.com;Brazil;$864k+;$5000+;;High;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;loja.empreender.com.br;Brazil;$25k+;$1000+;;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;sv.mlcdn.com.br;Brazil;;$250+;;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;checkout.embracon.com.br;Brazil;$173k+;$2000+;1,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;megemeg.com.br;Brazil;$42k+;$500+;50,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;meiasemeiastore.com.br;Brazil;$66k+;$500+;100,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;maxracer.com.br;Brazil;$45k+;$500+;2,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;loja.avmakers.com.br;Brazil;$110k+;$100+;50+;Medium;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;malloca.com.br;Brazil;$13k+;$100+;;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;mascaraknit.com.br;Brazil;$11k+;$100+;150,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;mofficer.com.br;Brazil;$85k+;$1000+;50,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;gameverse8.lojavirtualnuvem.com.br;Brazil;$101k+;$2000+;500+;Medium;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;app.yampi.com.br;Brazil;$190k+;$2000+;5,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;usegreenco.com.br;Brazil;$106k+;$1000+;50,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;classinline.robsoncamargo.com.br;Brazil;;$1000+;2,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;lojaflash.com;Brazil;$46k+;$5000+;2,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;duxnutrition.com;Brazil;$240k+;$2000+;150,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;laporta.com.br;Brazil;$1k+;$50+;;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;reidacozinha.com.br;Brazil;$17k+;$500+;;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.usadaomaquinas.com.br;Brazil;$1k+;$500+;;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;labellamafia.com.br;Brazil;$142k+;$2000+;500,000+;-;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;loja.pt.org.br;Brazil;$360k+;$1000+;500,000+;High;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;eadpensa.fia.com.br;Brazil;;$2000+;1,000+;Medium;123.054;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;singapore.sennheiser.com;Germany;;$5000+;400,000+;Very High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.smashingmagazine.com;Germany;;$1000+;500,000+;Very High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;dazn.com;Germany;;$5000+;;High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;pre-loved.hugoboss.com;Germany;$3.0m+;$10000+;500+;Very High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.helloclue.com;Germany;$53k+;$2000+;;High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;equipment.lesmills.com;Germany;$69k+;$5000+;400,000+;High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;plant.ecosia.org;Germany;;$5000+;20,000+;Very High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;pt.business.babbel.com;Germany;;$10000+;20,000+;Very High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.inyourpocket.com;Germany;$2.4m+;$2000+;1,000+;Very High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;vicegolf.com;Germany;$290k+;$2000+;50,000+;-;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;swag.reviews.io;Germany;;$2000+;10,000+;Very High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;marktplatz.bild.de;Germany;;$5000+;250+;Very High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop-us.kurzgesagt.org;Germany;;$1000+;300,000+;High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;esports-shop.sport1.de;Germany;;$5000+;300,000+;High;121.795;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;g2esports.com;Germany;$360k+;$2000+;750,000+;Medium;121.795;;;;;;;;;;;;;;;
